16-Nov-2018 10:09:09

Existing File opened read-only: 
  "D:\HEKA_DATA\1810292ho.dat". 

GROUP_1,    3

SERIES_1_1, "IVCC-I",  "", 29-Oct-2018, 16:02:56.906
EPC10/2-1, C-Clamp,  0.0000 ,  10.000m,  7.3014k,  6.8472p,  15.719p
EPC10/2-2, V-Clamp,  0.0000 ,  1.0000m,  2.8735k,  0.0000 ,  1.0000p
Sweep #,   Mean[V],    Min[V],     a2-b3,  Constant,     a5/b4
      1,  -33.184m,  -57.250m,   24.066m,   10.000m,   415.53m
      2,  -29.301m,  -51.500m,   22.199m,   10.000m,   450.48m
      3,  -29.420m,  -48.937m,   19.517m,   10.000m,   512.37m
      4,  -29.944m,  -44.969m,   15.024m,   10.000m,   665.59m
      5,  -30.883m,  -43.500m,   12.617m,   10.000m,   792.61m
      6,  -30.072m,  -41.719m,   11.647m,   10.000m,   858.58m
      7,  -34.845m,  -43.969m,   9.1242m,   10.000m,    1.0960
      8,  -45.390m,  -46.719m,   1.3289m,   10.000m,    7.5249
      9,  -45.308m,  -46.656m,   1.3485m,   10.000m,    7.4155
     10,  -46.869m,  -47.750m,   881.49µ,   10.000m,    11.344
     11,  -47.120m,  -48.094m,   973.85µ,   10.000m,    10.269
     12,  -48.426m,  -49.125m,   698.84µ,   10.000m,    14.309
     13,  -47.215m,  -48.250m,   1.0346m,   10.000m,    9.6654
     14,  -48.285m,  -49.438m,   1.1525m,   10.000m,    8.6771
     15,  -47.585m,  -48.406m,   821.01µ,   10.000m,    12.180
     16,  -48.745m,  -50.625m,   1.8799m,   10.000m,    5.3196
     17,  -48.001m,  -48.687m,   686.79µ,   10.000m,    14.560
     18,  -48.433m,  -49.625m,   1.1922m,   10.000m,    8.3878
     19,  -47.734m,  -48.781m,   1.0469m,   10.000m,    9.5517

SERIES_1_2, "Imoncont",  "", 29-Oct-2018, 16:04:29.148
EPC10/2-1, V-Clamp, -60.000m,  10.000m,  7.3014k,  6.8487p,  12.525p
EPC10/2-2, V-Clamp,  0.0000 ,  1.0000m,  2.8735k,  0.0000 ,  1.0000p
Sweep #,   Mean[A],    Min[A],     a2-b3,  Constant,     a5/b4
      1,  -117.59p,  -514.50p,   396.91p,   10.000m,   25.195M
      2,  -119.11p,  -515.09p,   395.98p,   10.000m,   25.254M
      3,  -117.39p,  -515.47p,   398.08p,   10.000m,   25.120M
      4,  -116.74p,  -496.72p,   379.98p,   10.000m,   26.317M
      5,  -116.78p,  -508.03p,   391.25p,   10.000m,   25.559M
      6,  -116.79p,  -509.25p,   392.46p,   10.000m,   25.480M
      7,  -115.47p,  -498.81p,   383.34p,   10.000m,   26.086M
      8,  -116.81p,  -502.31p,   385.51p,   10.000m,   25.940M
      9,  -111.18p,  -501.44p,   390.26p,   10.000m,   25.624M
     10,  -118.42p,  -502.56p,   384.14p,   10.000m,   26.032M
     11,  -113.78p,  -509.66p,   395.87p,   10.000m,   25.261M
     12,  -112.47p,  -505.03p,   392.56p,   10.000m,   25.474M
     13,  -114.22p,  -509.53p,   395.31p,   10.000m,   25.297M
     14,  -114.48p,  -502.59p,   388.12p,   10.000m,   25.765M
     15,  -115.67p,  -507.22p,   391.54p,   10.000m,   25.540M
     16,  -115.59p,  -506.16p,   390.57p,   10.000m,   25.604M
     17,  -114.81p,  -502.37p,   387.56p,   10.000m,   25.802M
     18,  -115.64p,  -507.37p,   391.74p,   10.000m,   25.527M
     19,  -116.95p,  -516.94p,   399.98p,   10.000m,   25.001M
     20,  -116.63p,  -504.00p,   387.37p,   10.000m,   25.815M
     21,  -114.98p,  -507.94p,   392.96p,   10.000m,   25.448M
     22,  -111.67p,  -506.50p,   394.83p,   10.000m,   25.327M
     23,  -115.56p,  -505.81p,   390.25p,   10.000m,   25.624M
     24,  -116.85p,  -515.78p,   398.93p,   10.000m,   25.067M
     25,  -115.55p,  -523.16p,   407.61p,   10.000m,   24.533M
     26,  -119.88p,  -536.31p,   416.43p,   10.000m,   24.013M
     27,  -119.28p,  -538.69p,   419.40p,   10.000m,   23.843M
     28,  -120.14p,  -544.16p,   424.02p,   10.000m,   23.584M
     29,  -119.52p,  -538.06p,   418.54p,   10.000m,   23.893M
     30,  -119.49p,  -543.72p,   424.23p,   10.000m,   23.572M
     31,  -119.80p,  -542.03p,   422.24p,   10.000m,   23.683M
     32,  -120.70p,  -553.12p,   432.43p,   10.000m,   23.125M
     33,  -121.34p,  -547.19p,   425.85p,   10.000m,   23.483M
     34,  -121.44p,  -550.59p,   429.16p,   10.000m,   23.302M
     35,  -121.08p,  -563.81p,   442.73p,   10.000m,   22.587M
     36,  -128.15p,  -554.25p,   426.10p,   10.000m,   23.469M
     37,  -125.13p,  -540.50p,   415.37p,   10.000m,   24.075M
     38,  -116.67p,  -545.00p,   428.33p,   10.000m,   23.347M
     39,  -123.52p,  -541.59p,   418.08p,   10.000m,   23.919M
     40,  -120.43p,  -557.47p,   437.04p,   10.000m,   22.881M
     41,  -122.99p,  -549.37p,   426.39p,   10.000m,   23.453M
     42,  -122.93p,  -550.31p,   427.38p,   10.000m,   23.398M
     43,  -123.80p,  -563.56p,   439.76p,   10.000m,   22.740M
     44,  -125.22p,  -581.22p,   456.00p,   10.000m,   21.930M
     45,  -144.84p,  -575.28p,   430.44p,   10.000m,   23.232M
     46,  -134.44p,  -553.03p,   418.59p,   10.000m,   23.889M
     47,  -124.82p,  -568.66p,   443.84p,   10.000m,   22.531M
     48,  -124.99p,  -562.66p,   437.66p,   10.000m,   22.849M
     49,  -122.93p,  -574.44p,   451.51p,   10.000m,   22.148M
     50,  -125.59p,  -550.00p,   424.41p,   10.000m,   23.562M
     51,  -126.15p,  -558.31p,   432.16p,   10.000m,   23.140M
     52,  -125.69p,  -554.94p,   429.25p,   10.000m,   23.297M
     53,  -127.04p,  -565.72p,   438.68p,   10.000m,   22.796M
     54,  -127.18p,  -564.84p,   437.67p,   10.000m,   22.848M
     55,  -128.49p,  -585.94p,   457.45p,   10.000m,   21.861M
     56,  -127.26p,  -568.09p,   440.83p,   10.000m,   22.685M
     57,  -128.41p,  -573.66p,   445.25p,   10.000m,   22.459M
     58,  -130.51p,  -588.88p,   458.36p,   10.000m,   21.817M
     59,  -130.28p,  -569.34p,   439.06p,   10.000m,   22.776M
     60,  -130.25p,  -595.94p,   465.69p,   10.000m,   21.474M
     61,  -132.21p,  -570.78p,   438.57p,   10.000m,   22.801M
     62,  -130.27p,  -575.75p,   445.48p,   10.000m,   22.448M
     63,  -129.39p,  -574.50p,   445.11p,   10.000m,   22.466M
     64,  -132.80p,  -570.00p,   437.20p,   10.000m,   22.873M
     65,  -131.21p,  -593.19p,   461.98p,   10.000m,   21.646M
     66,  -132.81p,  -600.28p,   467.47p,   10.000m,   21.392M
     67,  -130.77p,  -591.34p,   460.57p,   10.000m,   21.712M
     68,  -130.94p,  -602.19p,   471.25p,   10.000m,   21.220M
     69,  -137.24p,  -608.88p,   471.63p,   10.000m,   21.203M
     70,  -138.12p,  -614.50p,   476.38p,   10.000m,   20.992M
     71,  -144.69p,  -611.81p,   467.12p,   10.000m,   21.408M
     72,  -145.29p,  -615.50p,   470.21p,   10.000m,   21.267M
     73,  -144.26p,  -627.72p,   483.46p,   10.000m,   20.684M
     74,  -146.57p,  -624.72p,   478.15p,   10.000m,   20.914M
     75,  -142.42p,  -620.53p,   478.12p,   10.000m,   20.915M
     76,  -143.48p,  -618.44p,   474.95p,   10.000m,   21.055M
     77,  -141.92p,  -619.31p,   477.40p,   10.000m,   20.947M
     78,  -142.71p,  -627.22p,   484.50p,   10.000m,   20.640M
     79,  -141.31p,  -624.28p,   482.97p,   10.000m,   20.705M
     80,  -146.52p,  -624.41p,   477.88p,   10.000m,   20.926M
     81,  -147.38p,  -632.75p,   485.37p,   10.000m,   20.603M
     82,  -148.74p,  -624.56p,   475.82p,   10.000m,   21.016M
     83,  -149.40p,  -628.66p,   479.25p,   10.000m,   20.866M
     84,  -146.77p,  -619.31p,   472.54p,   10.000m,   21.162M
     85,  -149.70p,  -653.91p,   504.20p,   10.000m,   19.833M
     86,  -145.27p,  -638.44p,   493.17p,   10.000m,   20.277M
     87,  -148.40p,  -678.25p,   529.85p,   10.000m,   18.873M
     88,  -148.84p,  -624.34p,   475.50p,   10.000m,   21.030M
     89,  -148.14p,  -630.78p,   482.64p,   10.000m,   20.719M
     90,  -148.22p,  -626.87p,   478.65p,   10.000m,   20.892M
     91,  -150.27p,  -636.12p,   485.85p,   10.000m,   20.582M
     92,  -149.94p,  -641.28p,   491.34p,   10.000m,   20.353M
     93,  -152.85p,  -623.28p,   470.43p,   10.000m,   21.257M
     94,  -152.30p,  -632.22p,   479.91p,   10.000m,   20.837M
     95,  -153.87p,  -633.84p,   479.98p,   10.000m,   20.834M
     96,  -152.28p,  -373.97p,   221.69p,   10.000m,   45.108M
     97,  -153.71p,  -635.53p,   481.82p,   10.000m,   20.755M
     98,  -153.54p,  -642.75p,   489.21p,   10.000m,   20.441M
     99,  -153.33p,  -643.03p,   489.71p,   10.000m,   20.420M
    100,  -154.37p,  -622.72p,   468.35p,   10.000m,   21.351M
    101,  -153.85p,  -651.31p,   497.46p,   10.000m,   20.102M
    102,  -153.84p,  -632.78p,   478.94p,   10.000m,   20.880M
    103,  -160.33p,  -647.03p,   486.70p,   10.000m,   20.547M
    104,  -181.94p,  -680.94p,   499.00p,   10.000m,   20.040M
    105,  -192.88p,  -665.31p,   472.43p,   10.000m,   21.167M
    106,  -192.10p,  -660.53p,   468.43p,   10.000m,   21.348M
    107,  -195.23p,  -665.37p,   470.15p,   10.000m,   21.270M
    108,  -201.31p,  -694.94p,   493.63p,   10.000m,   20.258M
    109,  -184.81p,  -667.56p,   482.75p,   10.000m,   20.715M
    110,  -189.21p,  -657.56p,   468.36p,   10.000m,   21.351M
    111,  -179.96p,  -647.22p,   467.26p,   10.000m,   21.402M
    112,  -173.58p,  -656.69p,   483.11p,   10.000m,   20.699M
    113,  -171.18p,  -666.66p,   495.48p,   10.000m,   20.183M
    114,  -175.74p,  -656.19p,   480.44p,   10.000m,   20.814M
    115,  -176.47p,  -653.25p,   476.78p,   10.000m,   20.974M
    116,  -178.91p,  -644.75p,   465.84p,   10.000m,   21.467M
    117,  -175.12p,  -637.87p,   462.76p,   10.000m,   21.610M
    118,  -172.01p,  -648.56p,   476.56p,   10.000m,   20.984M
    119,  -174.92p,  -646.66p,   471.74p,   10.000m,   21.198M
    120,  -170.55p,  -645.22p,   474.67p,   10.000m,   21.067M
    121,  -165.38p,  -636.34p,   470.96p,   10.000m,   21.233M
    122,  -167.22p,  -648.31p,   481.09p,   10.000m,   20.786M
    123,  -174.26p,  -672.37p,   498.11p,   10.000m,   20.076M
    124,  -175.95p,  -640.22p,   464.26p,   10.000m,   21.539M
    125,  -173.20p,  -655.22p,   482.02p,   10.000m,   20.746M
    126,  -177.39p,  -656.41p,   479.01p,   10.000m,   20.876M
    127,  -178.09p,  -629.37p,   451.28p,   10.000m,   22.159M
    128,  -171.73p,  -643.91p,   472.18p,   10.000m,   21.178M
    129,  -174.85p,  -653.41p,   478.55p,   10.000m,   20.896M
    130,  -173.31p,  -649.63p,   476.31p,   10.000m,   20.995M
    131,  -176.29p,  -646.25p,   469.96p,   10.000m,   21.278M
    132,  -170.59p,  -652.28p,   481.69p,   10.000m,   20.760M
    133,  -169.63p,  -627.91p,   458.28p,   10.000m,   21.821M
    134,  -170.37p,  -641.38p,   471.01p,   10.000m,   21.231M
    135,  -169.99p,  -632.44p,   462.45p,   10.000m,   21.624M
    136,  -172.60p,  -646.81p,   474.22p,   10.000m,   21.087M
    137,  -171.02p,  -642.28p,   471.26p,   10.000m,   21.220M
    138,  -174.11p,  -642.97p,   468.85p,   10.000m,   21.329M
    139,  -172.65p,  -653.44p,   480.78p,   10.000m,   20.799M
    140,  -168.90p,  -633.09p,   464.20p,   10.000m,   21.543M
    141,  -169.98p,  -636.75p,   466.77p,   10.000m,   21.424M
    142,  -169.18p,  -647.47p,   478.28p,   10.000m,   20.908M
    143,  -174.11p,  -636.34p,   462.23p,   10.000m,   21.634M
    144,  -177.27p,  -644.78p,   467.51p,   10.000m,   21.390M
    145,  -168.82p,  -642.66p,   473.84p,   10.000m,   21.104M
    146,  -172.32p,  -641.09p,   468.78p,   10.000m,   21.332M
    147,  -174.70p,  -646.44p,   471.74p,   10.000m,   21.198M
    148,  -164.41p,  -638.62p,   474.22p,   10.000m,   21.087M
    149,  -169.26p,  -638.25p,   468.99p,   10.000m,   21.323M
    150,  -166.29p,  -636.94p,   470.65p,   10.000m,   21.247M
    151,  -166.16p,  -638.22p,   472.06p,   10.000m,   21.184M
    152,  -167.58p,  -624.53p,   456.96p,   10.000m,   21.884M
    153,  -171.96p,  -630.78p,   458.82p,   10.000m,   21.795M
    154,  -163.91p,  -631.69p,   467.78p,   10.000m,   21.378M
    155,  -165.62p,  -626.31p,   460.69p,   10.000m,   21.706M
    156,  -166.22p,  -640.00p,   473.78p,   10.000m,   21.107M
    157,  -164.83p,  -623.38p,   458.54p,   10.000m,   21.808M
    158,  -163.00p,  -627.34p,   464.35p,   10.000m,   21.536M
    159,  -165.49p,  -627.91p,   462.41p,   10.000m,   21.626M
    160,  -162.82p,  -635.41p,   472.59p,   10.000m,   21.160M
    161,  -165.01p,  -641.38p,   476.36p,   10.000m,   20.992M
    162,  -161.39p,  -624.28p,   462.89p,   10.000m,   21.603M
    163,  -162.70p,  -661.81p,   499.12p,   10.000m,   20.035M
    164,  -163.32p,  -620.31p,   456.99p,   10.000m,   21.882M
    165,  -160.91p,  -628.38p,   467.46p,   10.000m,   21.392M
    166,  -162.71p,  -620.66p,   457.94p,   10.000m,   21.837M
    167,  -160.90p,  -634.69p,   473.79p,   10.000m,   21.107M
