SERIES_1_3	 "Imoncont"	  ""	 07-Jan-2019	 17:17:48.796
EPC10/2-1	 V-Clamp	 -60.000m	  10.000m	  7.3014k	  6.6448p	  8.1015p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[A]	    Min[A]	     a2-b3	  Constant	     a5/b4
1	62269,000000000000000	-132,099999999999994	-632,779999999999973	0,000000000500680	10,000000000000000	19,972999999999999
2	62269,000000000000000	-133,180000000000007	-625,750000000000000	0,000000000492570	10,000000000000000	20,302000000000000
3	62270,000000000000000	-131,110000000000014	-633,809999999999945	0,000000000502700	10,000000000000000	19,891999999999999
4	62270,000000000000000	-132,139999999999986	-625,159999999999968	0,000000000493020	10,000000000000000	20,283000000000001
5	62271,000000000000000	-128,830000000000013	-625,250000000000000	0,000000000496420	10,000000000000000	20,143999999999998
6	62271,000000000000000	-130,169999999999987	-632,970000000000027	0,000000000502800	10,000000000000000	19,888999999999999
7	62271,000000000000000	-134,389999999999986	-628,879999999999995	0,000000000494480	10,000000000000000	20,222999999999999
8	62272,000000000000000	-130,250000000000000	-617,440000000000055	0,000000000487190	10,000000000000000	20,526000000000000
9	62272,000000000000000	-133,349999999999994	-628,379999999999995	0,000000000495030	10,000000000000000	20,201000000000001
10	62273,000000000000000	-131,150000000000006	-630,840000000000032	0,000000000499690	10,000000000000000	20,012000000000000
11	62273,000000000000000	-130,139999999999986	-630,879999999999995	0,000000000500730	10,000000000000000	19,971000000000000
12	62274,000000000000000	-132,189999999999998	-637,340000000000032	0,000000000505150	10,000000000000000	19,795999999999999
13	62274,000000000000000	-122,150000000000020	-607,000000000000000	0,000000000484850	10,000000000000000	20,625000000000000
14	62274,000000000000000	-193,449999999999989	-653,529999999999973	0,000000000460080	10,000000000000000	21,734999999999999
15	62275,000000000000000	-217,680000000000007	-681,620000000000005	0,000000000463950	10,000000000000000	21,553999999999998
16	62275,000000000000000	-206,550000000000011	-669,309999999999945	0,000000000462760	10,000000000000000	21,609000000000002
17	62276,000000000000000	-191,870000000000005	-655,159999999999968	0,000000000463280	10,000000000000000	21,585000000000001
18	62276,000000000000000	-183,490000000000009	-650,220000000000027	0,000000000466730	10,000000000000000	21,425999999999998
19	62277,000000000000000	-169,240000000000009	-655,090000000000032	0,000000000485850	10,000000000000000	20,582000000000001
20	62277,000000000000000	-153,389999999999986	-672,000000000000000	0,000000000518610	10,000000000000000	19,282000000000000
21	62278,000000000000000	-137,800000000000011	-639,029999999999973	0,000000000501230	10,000000000000000	19,951000000000001
22	62278,000000000000000	-114,579999999999998	-606,440000000000055	0,000000000491850	10,000000000000000	20,331000000000000
23	62278,000000000000000	-115,829999999999998	-629,000000000000000	0,000000000513170	10,000000000000000	19,486999999999998
24	62279,000000000000000	-114,590000000000003	-614,690000000000055	0,000000000500100	10,000000000000000	19,995999999999999
25	62279,000000000000000	-116,979999999999990	-616,090000000000032	0,000000000499120	10,000000000000000	20,035000000000000
26	62280,000000000000000	-118,940000000000012	-620,000000000000000	0,000000000501060	10,000000000000000	19,957999999999998
27	62280,000000000000000	-125,810000000000002	-627,970000000000027	0,000000000502160	10,000000000000000	19,914000000000001
28	62281,000000000000000	-133,439999999999998	-629,059999999999945	0,000000000495620	10,000000000000000	20,177000000000000
29	62281,000000000000000	-108,900000000000006	-621,529999999999973	0,000000000512630	10,000000000000000	19,507000000000001
30	62281,000000000000000	-120,570000000000007	-613,879999999999995	0,000000000493310	10,000000000000000	20,271000000000001
31	62282,000000000000000	-114,599999999999994	-616,340000000000032	0,000000000501740	10,000000000000000	19,931000000000001
32	62282,000000000000000	-119,200000000000017	-617,370000000000005	0,000000000498170	10,000000000000000	20,073000000000000
33	62283,000000000000000	-117,750000000000014	-608,309999999999945	0,000000000490560	10,000000000000000	20,385000000000002
34	62283,000000000000000	-120,799999999999983	-621,440000000000055	0,000000000500640	10,000000000000000	19,974000000000000
35	62284,000000000000000	-117,629999999999981	-618,059999999999945	0,000000000500440	10,000000000000000	19,983000000000001
36	62284,000000000000000	-124,049999999999997	-618,559999999999945	0,000000000494510	10,000000000000000	20,222000000000001
37	62285,000000000000000	-124,120000000000005	-611,029999999999973	0,000000000486910	10,000000000000000	20,536999999999999
38	62285,000000000000000	-123,069999999999993	-617,779999999999973	0,000000000494710	10,000000000000000	20,213999999999999
39	62285,000000000000000	-125,669999999999987	-644,559999999999945	0,000000000518890	10,000000000000000	19,271999999999998
40	62286,000000000000000	-128,340000000000003	-621,220000000000027	0,000000000492880	10,000000000000000	20,289000000000001
41	62286,000000000000000	-125,109999999999999	-629,309999999999945	0,000000000504200	10,000000000000000	19,832999999999998
42	62287,000000000000000	-132,370000000000005	-637,970000000000027	0,000000000505600	10,000000000000000	19,777999999999999
43	62287,000000000000000	-131,590000000000003	-623,090000000000032	0,000000000491510	10,000000000000000	20,346000000000000
44	62288,000000000000000	-132,159999999999997	-631,340000000000032	0,000000000499190	10,000000000000000	20,033000000000001
45	62288,000000000000000	-126,719999999999999	-637,309999999999945	0,000000000510590	10,000000000000000	19,585000000000001
46	62288,000000000000000	-127,950000000000017	-630,029999999999973	0,000000000502080	10,000000000000000	19,917000000000002
47	62289,000000000000000	-181,680000000000007	-635,159999999999968	0,000000000453470	10,000000000000000	22,052000000000000
48	62289,000000000000000	-200,129999999999995	-653,750000000000000	0,000000000453620	10,000000000000000	22,045000000000002
49	62290,000000000000000	-186,069999999999993	-670,250000000000000	0,000000000484180	10,000000000000000	20,652999999999999
50	62290,000000000000000	-193,599999999999994	-633,659999999999968	0,000000000440050	10,000000000000000	22,725000000000001
51	62291,000000000000000	-188,800000000000011	-647,690000000000055	0,000000000458890	10,000000000000000	21,792000000000002
52	62291,000000000000000	-149,949999999999989	-627,279999999999973	0,000000000477330	10,000000000000000	20,949999999999999
53	62292,000000000000000	-130,479999999999990	-632,559999999999945	0,000000000502080	10,000000000000000	19,917000000000002
54	62292,000000000000000	-122,120000000000019	-626,440000000000055	0,000000000504320	10,000000000000000	19,829000000000001
55	62292,000000000000000	-120,239999999999995	-618,559999999999945	0,000000000498330	10,000000000000000	20,067000000000000
56	62293,000000000000000	-118,560000000000002	-623,059999999999945	0,000000000504500	10,000000000000000	19,821999999999999
57	62293,000000000000000	-110,079999999999998	-606,059999999999945	0,000000000495990	10,000000000000000	20,161999999999999
58	62294,000000000000000	-118,260000000000019	-614,659999999999968	0,000000000496390	10,000000000000000	20,145000000000000
59	62294,000000000000000	-118,870000000000005	-605,340000000000032	0,000000000486470	10,000000000000000	20,556000000000001
60	62295,000000000000000	-126,650000000000006	-611,529999999999973	0,000000000484880	10,000000000000000	20,623999999999999
61	62295,000000000000000	-128,060000000000002	-618,879999999999995	0,000000000490810	10,000000000000000	20,373999999999999
62	62295,000000000000000	-116,579999999999998	-618,309999999999945	0,000000000501730	10,000000000000000	19,931000000000001
63	62296,000000000000000	-118,859999999999999	-612,250000000000000	0,000000000493390	10,000000000000000	20,268000000000001
64	62296,000000000000000	-132,360000000000014	-608,590000000000032	0,000000000476230	10,000000000000000	20,998000000000001
65	62297,000000000000000	-117,129999999999995	-625,409999999999968	0,000000000508270	10,000000000000000	19,673999999999999
66	62297,000000000000000	-143,349999999999994	-620,000000000000000	0,000000000476650	10,000000000000000	20,980000000000000
67	62298,000000000000000	-131,150000000000006	-865,559999999999945	0,000000000734410	10,000000000000000	13,616000000000000
68	62298,000000000000000	-129,569999999999993	-620,129999999999995	0,000000000490550	10,000000000000000	20,385000000000002
69	62299,000000000000000	-126,079999999999998	-613,940000000000055	0,000000000487860	10,000000000000000	20,498000000000001
70	62299,000000000000000	-125,720000000000013	-621,470000000000027	0,000000000495750	10,000000000000000	20,172000000000001
71	62299,000000000000000	-126,929999999999993	-612,720000000000027	0,000000000485790	10,000000000000000	20,585000000000001
72	62300,000000000000000	-125,709999999999994	-616,559999999999945	0,000000000490850	10,000000000000000	20,373000000000001
73	62300,000000000000000	-134,370000000000005	-638,279999999999973	0,000000000503920	10,000000000000000	19,844999999999999
74	62301,000000000000000	-121,549999999999983	-622,750000000000000	0,000000000501200	10,000000000000000	19,952000000000002
75	62301,000000000000000	-154,680000000000007	-1024,000000000000227	0,000000000869320	10,000000000000000	11,503000000000000
76	62302,000000000000000	-178,979999999999990	-670,690000000000055	0,000000000491710	10,000000000000000	20,337000000000000
77	62302,000000000000000	-182,689999999999998	-1024,000000000000227	0,000000000841310	10,000000000000000	11,885999999999999
78	62302,000000000000000	-182,729999999999990	-630,750000000000000	0,000000000448020	10,000000000000000	22,321000000000002
79	62303,000000000000000	-152,780000000000001	-636,779999999999973	0,000000000484010	10,000000000000000	20,661000000000001
80	62303,000000000000000	-195,860000000000014	-647,870000000000005	0,000000000452010	10,000000000000000	22,123000000000001
81	62304,000000000000000	-157,800000000000011	-643,340000000000032	0,000000000485540	10,000000000000000	20,596000000000000
82	62304,000000000000000	-140,729999999999990	-637,690000000000055	0,000000000496960	10,000000000000000	20,122000000000000
83	62305,000000000000000	-132,879999999999995	-638,340000000000032	0,000000000505460	10,000000000000000	19,783999999999999
84	62305,000000000000000	-135,000000000000000	-612,129999999999995	0,000000000477120	10,000000000000000	20,959000000000000
85	62306,000000000000000	-126,660000000000011	-627,129999999999995	0,000000000500460	10,000000000000000	19,981999999999999
86	62306,000000000000000	-125,140000000000001	-618,470000000000027	0,000000000493320	10,000000000000000	20,271000000000001
87	62306,000000000000000	-121,439999999999998	-605,309999999999945	0,000000000483870	10,000000000000000	20,667000000000002
88	62307,000000000000000	-121,580000000000013	-614,870000000000005	0,000000000493290	10,000000000000000	20,271999999999998
89	62307,000000000000000	-119,099999999999980	-619,370000000000005	0,000000000500280	10,000000000000000	19,989000000000001
