
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
      1,    0.00000000,             1,  -60.9035308m,  -14.3857268m
      2,    1.00000000,             2,  -59.7181813m,  -19.3888820m
      3,    2.00000000,             3,  -59.4447126m,  -17.7563443m
      4,    3.00000000,             4,  -58.5788537m,  -22.0533220m
      5,    4.00000000,             5,  -58.1700116m,  -16.4409130m
      6,    5.00000000,             6,  -58.5418996m,  -17.2521288m
      7,    6.00000000,             7,  -58.6600255m,  -16.7350715m
      8,    7.00000000,             8,  -57.9222000m,  -20.8195849m
      9,    8.00000000,             9,  -58.1402959m,  -17.0530348m
     10,    9.00000000,            10,  -57.1046434m,  -17.5196090m
     11,    10.0000000,            11,  -56.7999870m,  -16.3954155m
     12,    11.0000000,            12,  -55.9000531m,  -17.2157439m
     13,    12.0000000,            13,  -55.0568199m,  -13.7963639m
     14,    13.0000000,            14,  -52.7184954m,  -14.9488764m
     15,    14.0000000,            15,  -42.6866061m,  -10.5020708m
     16,    15.0000000,            16,  -52.4987351m,  -13.6331009m
     17,    16.0000000,            17,  -38.1512927m,   9.77430181m
     18,    17.0000000,            18,  -39.0138561m,   18.1130753m
Sweep #,     R_time[s],       Mean[A],        Min[A],         a2-b3,      Constant,         a5/b4
      1,   53.1549260k,  -21.9986539p,  -387.250010p,   365.251356p,   10.0000000m,   27.3784062M
      2,   53.1553639k,  -21.8590342p,  -390.874999p,   369.015965p,   10.0000000m,   27.0990986M
      3,   53.1557999k,  -26.3636859p,  -395.375011p,   369.011325p,   10.0000000m,   27.0994393M
      4,   53.1562369k,  -16.5840206p,  -384.687504p,   368.103483p,   10.0000000m,   27.1662737M
      5,   53.1566739k,  -19.9111062p,  -389.593746p,   369.682640p,   10.0000000m,   27.0502288M
      6,   53.1571109k,  -30.6055923p,  -398.500011p,   367.894419p,   10.0000000m,   27.1817116M
      7,   53.1575473k,  -38.7584344p,  -399.468764p,   360.710329p,   10.0000000m,   27.7230764M
      8,   53.1579999k,  -32.0915178p,  -399.156264p,   367.064746p,   10.0000000m,   27.2431502M
      9,   53.1584435k,  -34.8094670p,  -398.718752p,   363.909285p,   10.0000000m,   27.4793758M
     10,   53.1588889k,  -38.4803197p,  -409.874995p,   371.394675p,   10.0000000m,   26.9255341M
     11,   53.1593259k,  -40.1482926p,  -411.656237p,   371.507944p,   10.0000000m,   26.9173248M
     12,   53.1597629k,  -44.7039429p,  -404.968753p,   360.264810p,   10.0000000m,   27.7573599M
     13,   53.1601999k,  -44.8465274p,  -412.843759p,   367.997232p,   10.0000000m,   27.1741175M
     14,   53.1606359k,  -47.8627488p,  -415.781243p,   367.918494p,   10.0000000m,   27.1799330M
     15,   53.1610889k,  -46.6662861p,  -416.218754p,   369.552468p,   10.0000000m,   27.0597571M
     16,   53.1615253k,  -53.6361095p,  -425.124991p,   371.488881p,   10.0000000m,   26.9187061M
     17,   53.1619779k,  -45.9976997p,  -421.093743p,   375.096043p,   10.0000000m,   26.6598387M
     18,   53.1624299k,  -54.3795834p,  -427.031244p,   372.651660p,   10.0000000m,   26.8347121M
     19,   53.1628748k,  -49.5145686p,  -419.437512p,   369.922944p,   10.0000000m,   27.0326568M
     20,   53.1633198k,  -56.8313794p,  -425.312507p,   368.481128p,   10.0000000m,   27.1384319M
     21,   53.1637559k,  -62.8671447p,  -429.281249p,   366.414105p,   10.0000000m,   27.2915258M
     22,   53.1642089k,  -60.3265572p,  -423.812513p,   363.485956p,   10.0000000m,   27.5113793M
     23,   53.1646459k,  -58.1258177p,  -426.718744p,   368.592926p,   10.0000000m,   27.1302005M
     24,   53.1650979k,  -63.1691485p,  -439.781239p,   376.612091p,   10.0000000m,   26.5525198M
     25,   53.1655492k,  -61.7751156p,  -432.937491p,   371.162376p,   10.0000000m,   26.9423860M
     26,   53.1659937k,  -59.6046719p,  -447.062498p,   387.457826p,   10.0000000m,   25.8092606M
     27,   53.1664399k,  -63.3673152p,  -431.593761p,   368.226446p,   10.0000000m,   27.1572021M
     28,   53.1668759k,  -67.1507121p,  -437.750003p,   370.599291p,   10.0000000m,   26.9833220M
     29,   53.1673289k,  -68.5174312p,  -425.593755p,   357.076324p,   10.0000000m,   28.0052172M
     30,   53.1677659k,  -67.5062534p,  -437.500008p,   369.993755p,   10.0000000m,   27.0274832M
     31,   53.1682179k,  -66.6288168p,  -441.281262p,   374.652445p,   10.0000000m,   26.6914046M
     32,   53.1686709k,  -64.7382258p,  -428.249991p,   363.511765p,   10.0000000m,   27.5094260M
     33,   53.1691149k,  -71.4051595p,  -437.781256p,   366.376096p,   10.0000000m,   27.2943571M
     34,   53.1695597k,  -71.2432525p,  -439.968756p,   368.725503p,   10.0000000m,   27.1204457M
     35,   53.1699969k,  -74.3919201p,  -437.750003p,   363.358083p,   10.0000000m,   27.5210611M
     36,   53.1704489k,  -67.4456107p,  -447.343745p,   379.898135p,   10.0000000m,   26.3228457M
     37,   53.1708859k,  -76.0123196p,  -439.000003p,   362.987683p,   10.0000000m,   27.5491441M
     38,   53.1713379k,  -76.9903558p,  -454.031257p,   377.040901p,   10.0000000m,   26.5223215M
     39,   53.1717909k,  -72.6991550p,  -441.343739p,   368.644584p,   10.0000000m,   27.1263988M
     40,   53.1722346k,  -72.8835197p,  -446.468751p,   373.585231p,   10.0000000m,   26.7676534M
     41,   53.1726799k,  -66.5979416p,  -446.343740p,   379.745798p,   10.0000000m,   26.3334053M
     42,   53.1731169k,  -75.3259951p,  -457.906241p,   382.580246p,   10.0000000m,   26.1383072M
     43,   53.1735689k,  -80.2952051p,  -456.031241p,   375.736035p,   10.0000000m,   26.6144289M
     44,   53.1740059k,  -80.8081038p,  -454.468740p,   373.660637p,   10.0000000m,   26.7622517M
     45,   53.1744578k,  -81.3337138p,  -453.812488p,   372.478774p,   10.0000000m,   26.8471674M
     46,   53.1749107k,  -75.8881714p,  -447.750004p,   371.861832p,   10.0000000m,   26.8917085M
     47,   53.1753544k,  -89.1352236p,  -458.781263p,   369.646039p,   10.0000000m,   27.0529072M
     48,   53.1757998k,  -77.9643539p,  -478.500017p,   400.535664p,   10.0000000m,   24.9665658M
     49,   53.1762509k,  -75.8943566p,  -451.906262p,   376.011906p,   10.0000000m,   26.5949026M
     50,   53.1767049k,  -67.6238754p,  -449.968757p,   382.344881p,   10.0000000m,   26.1543975M
     51,   53.1771409k,  -79.6864094p,  -449.281251p,   369.594842p,   10.0000000m,   27.0566547M
     52,   53.1775779k,  -72.8602442p,  -440.374986p,   367.514742p,   10.0000000m,   27.2097928M
     53,   53.1780308k,  -72.7991412p,  -451.124998p,   378.325857p,   10.0000000m,   26.4322404M
     54,   53.1784737k,  -67.9244820p,  -432.468755p,   364.544273p,   10.0000000m,   27.4315103M
     55,   53.1789199k,  -70.3999453p,  -440.468745p,   370.068799p,   10.0000000m,   27.0220024M
     56,   53.1793569k,  -66.7921893p,  -443.156262p,   376.364072p,   10.0000000m,   26.5700175M
     57,   53.1798089k,  -71.0498739p,  -446.406245p,   375.356371p,   10.0000000m,   26.6413488M
     58,   53.1802459k,  -61.3949869p,  -437.937492p,   376.542505p,   10.0000000m,   26.5574268M
     59,   53.1806979k,  -64.3859049p,  -433.562491p,   369.176587p,   10.0000000m,   27.0873083M
     60,   53.1811509k,  -66.1270446p,  -432.593739p,   366.466694p,   10.0000000m,   27.2876094M
     61,   53.1815940k,  -64.0297845p,  -444.499992p,   380.470208p,   10.0000000m,   26.2832668M
     62,   53.1820399k,  -65.4342625p,  -436.093744p,   370.659482p,   10.0000000m,   26.9789402M
     63,   53.1824762k,  -68.5639482p,  -451.562510p,   382.998561p,   10.0000000m,   26.1097586M
     64,   53.1829289k,  -70.5849066p,  -445.031262p,   374.446355p,   10.0000000m,   26.7060952M
     65,   53.1833659k,  -61.8402396p,  -427.593738p,   365.753499p,   10.0000000m,   27.3408184M
