
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
      1,    0.00000000,             1,  -62.8421058m,  -2.99361668m
      2,    1.00000000,             2,  -62.8591418m,  -3.33839257m
      3,    2.00000000,             3,  -62.4156296m,  -2.09532027m
      4,    3.00000000,             4,  -62.0268029m,  -2.71722729m
      5,    4.00000000,             5,  -61.6338485m,  -3.26697597m
      6,    5.00000000,             6,  -61.9614076m,  -2.09702082m
      7,    6.00000000,             7,  -61.8548330m,  -1.73779410m
      8,    7.00000000,             8,  -61.3180009m,  -2.35351110m
      9,    8.00000000,             9,  -61.3440805m,  -2.14452812m
     10,    9.00000000,            10,  -60.9075473m,  -2.67991176m
     11,    10.0000000,            11,  -60.3082045m,  -2.20465722m
     12,    11.0000000,            12,  -60.1805014m,  -1.09182535m
     13,    12.0000000,            13,  -59.1254821m,  -1.08465819m
     14,    13.0000000,            14,  -58.6784213m,  -1.42223399m
     15,    14.0000000,            15,  -58.2532285m,  -1.06791296m
     16,    15.0000000,            16,  -57.9439678m,  -639.590898�
     17,    16.0000000,            17,  -57.0729437m,  -1.24082174m
     18,    17.0000000,            18,  -56.5053572m,  -328.571338�
     19,    18.0000000,            19,  -56.0338662m,  -651.197483�
     20,    19.0000000,            20,  -55.4368174m,  -472.185408�
     21,    20.0000000,            21,  -54.8942814m,  -132.849205�
     22,    21.0000000,            22,  -54.2072526m,   1.01376754m
     23,    22.0000000,            23,  -53.4853338m,   1.83983503m
     24,    23.0000000,            24,  -52.6513017m,   3.11274967m
     25,    24.0000000,            25,  -51.8552988m,   3.24904604m
     26,    25.0000000,            26,  -51.0311228m,   3.97822359m
     27,    26.0000000,            27,  -50.1554159m,   4.85578422m
     28,    27.0000000,            28,  -49.3250455m,   6.14470026m
     29,    28.0000000,            29,  -48.2283163m,   5.84640050m
     30,    29.0000000,            30,  -47.5946438m,   7.11328616m
     31,    30.0000000,            31,  -46.8166141m,   8.11440489m
     32,    31.0000000,            32,  -45.9650313m,   8.84138466m
     33,    32.0000000,            33,  -45.1735623m,   10.2327782m
     34,    33.0000000,            34,  -43.8407951m,   11.7623228m
     35,    34.0000000,            35,  -42.2180919m,   9.43427298m
Sweep #,     R_time[s],       Mean[A],        Min[A],         a2-b3,      Constant,         a5/b4
      1,   52.4992520k,  -52.4949563p,  -367.406244p,   314.911288p,   10.0000000m,   31.7549748M
      2,   52.4996899k,  -51.7507327p,  -371.781245p,   320.030512p,   10.0000000m,   31.2470206M
      3,   52.5001269k,  -44.9658362p,  -407.031242p,   362.065406p,   10.0000000m,   27.6193192M
      4,   52.5005633k,  -44.6188318p,  -364.781261p,   320.162429p,   10.0000000m,   31.2341458M
      5,   52.5009999k,  -48.2823746p,  -356.968760p,   308.686386p,   10.0000000m,   32.3953387M
      6,   52.5014369k,  -50.3838944p,  -345.093759p,   294.709865p,   10.0000000m,   33.9316772M
      7,   52.5018899k,  -50.7297744p,  -357.000013p,   306.270238p,   10.0000000m,   32.6509035M
      8,   52.5023259k,  -55.1460775p,  -360.531244p,   305.385166p,   10.0000000m,   32.7455329M
      9,   52.5027775k,  -53.1978599p,  -353.406249p,   300.208389p,   10.0000000m,   33.3101951M
     10,   52.5032159k,  -55.2477678p,  -360.343755p,   305.095987p,   10.0000000m,   32.7765701M
     11,   52.5036519k,  -55.1708696p,  -357.593760p,   302.422891p,   10.0000000m,   33.0662801M
     12,   52.5040889k,  -50.9978020p,  -352.843754p,   301.845952p,   10.0000000m,   33.1294819M
     13,   52.5045259k,  -51.7266733p,  -351.656260p,   299.929586p,   10.0000000m,   33.3411589M
     14,   52.5049778k,  -54.6201267p,  -350.281248p,   295.661122p,   10.0000000m,   33.8225058M
     15,   52.5054149k,  -56.0025218p,  -371.000008p,   314.997487p,   10.0000000m,   31.7462850M
     16,   52.5058679k,  -55.3644867p,  -354.906243p,   299.541757p,   10.0000000m,   33.3843272M
     17,   52.5063199k,  -53.4533635p,  -350.562496p,   297.109132p,   10.0000000m,   33.6576662M
     18,   52.5067636k,  -52.8620672p,  -342.468748p,   289.606681p,   10.0000000m,   34.5295902M
     19,   52.5072088k,  -60.4003713p,  -351.875001p,   291.474630p,   10.0000000m,   34.3083033M
     20,   52.5076458k,  -52.8636348p,  -342.281259p,   289.417624p,   10.0000000m,   34.5521460M
     21,   52.5080979k,  -50.4596340p,  -339.968748p,   289.509114p,   10.0000000m,   34.5412270M
     22,   52.5085342k,  -55.5661123p,  -350.499990p,   294.933878p,   10.0000000m,   33.9059048M
     23,   52.5089878k,  -51.1958322p,  -346.968759p,   295.772927p,   10.0000000m,   33.8097205M
     24,   52.5094399k,  -54.1192407p,  -344.593742p,   290.474502p,   10.0000000m,   34.4264296M
     25,   52.5098839k,  -54.4882088p,  -349.812512p,   295.324304p,   10.0000000m,   33.8610804M
     26,   52.5103289k,  -54.2361300p,  -355.874996p,   301.638866p,   10.0000000m,   33.1522265M
