

GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 07-Mar-2019	 15:26:21.967
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.4496p	  9.1968p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
      1	   55.582k	  -11.731m	  -53.094m	   41.363m	   10.000m	   241.76m
      2	   55.583k	  -15.244m	  -49.063m	   33.818m	   10.000m	   295.70m
      3	   55.584k	  -15.333m	  -42.312m	   26.980m	   10.000m	   370.65m
      4	   55.585k	  -5.4196m	  -38.812m	   33.393m	   10.000m	   299.47m
      5	   55.586k	  -16.975m	  -30.844m	   13.869m	   10.000m	   721.05m
      6	   55.587k	  -13.221m	  -19.656m	   6.4357m	   10.000m	    1.5538
      7	   55.588k	  -11.443m	  -13.094m	   1.6507m	   10.000m	    6.0580
      8	   55.589k	  -14.464m	  -19.625m	   5.1609m	   10.000m	    1.9377
      9	   55.590k	  -15.654m	  -18.594m	   2.9399m	   10.000m	    3.4015
     10	   55.591k	  -17.798m	  -19.656m	   1.8580m	   10.000m	    5.3820
     11	   55.592k	  -15.066m	  -19.625m	   4.5593m	   10.000m	    2.1933

SERIES_1_2	 "Imoncont"	  ""	 07-Mar-2019	 15:26:51.358
EPC10/2-1	 V-Clamp	 -60.000m	  10.000m	  7.3014k	  6.4460p	  9.1968p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[A]	    Min[A]	     a2-b3	  Constant	     a5/b4
      1	   55.611k	  -62.446p	  -637.31p	   574.87p	   10.000m	   17.395M
      2	   55.612k	  -67.983p	  -632.53p	   564.55p	   10.000m	   17.713M
      3	   55.612k	  -59.574p	  -640.72p	   581.15p	   10.000m	   17.207M
      4	   55.613k	  -63.767p	  -638.22p	   574.45p	   10.000m	   17.408M
      5	   55.613k	  -61.720p	  -630.13p	   568.40p	   10.000m	   17.593M
      6	   55.614k	  -62.773p	  -643.00p	   580.23p	   10.000m	   17.235M
      7	   55.614k	  -61.527p	  -629.97p	   568.44p	   10.000m	   17.592M
      8	   55.614k	  -63.157p	  -639.94p	   576.78p	   10.000m	   17.338M
      9	   55.615k	  -63.658p	  -628.62p	   564.97p	   10.000m	   17.700M
     10	   55.615k	  -59.451p	  -632.44p	   572.99p	   10.000m	   17.452M
     11	   55.616k	  -58.145p	  -621.12p	   562.98p	   10.000m	   17.763M
     12	   55.616k	  -73.722p	  -676.91p	   603.18p	   10.000m	   16.579M
     13	   55.617k	  -60.979p	  -663.84p	   602.86p	   10.000m	   16.587M
     14	   55.617k	  -55.858p	  -638.22p	   582.36p	   10.000m	   17.171M
     15	   55.617k	  -58.346p	  -637.44p	   579.09p	   10.000m	   17.268M
     16	   55.618k	  -51.381p	  -622.50p	   571.12p	   10.000m	   17.509M
     17	   55.618k	  -52.544p	  -627.59p	   575.05p	   10.000m	   17.390M
     18	   55.619k	  -52.097p	  -630.41p	   578.31p	   10.000m	   17.292M
     19	   55.619k	  -48.023p	  -631.47p	   583.45p	   10.000m	   17.140M
     20	   55.620k	  -50.569p	  -628.22p	   577.65p	   10.000m	   17.312M
     21	   55.620k	  -49.605p	  -635.53p	   585.93p	   10.000m	   17.067M
     22	   55.621k	  -49.488p	  -625.41p	   575.92p	   10.000m	   17.364M
     23	   55.621k	  -61.753p	  -623.75p	   562.00p	   10.000m	   17.794M
     24	   55.621k	  -50.966p	  -616.12p	   565.16p	   10.000m	   17.694M
     25	   55.622k	  -52.166p	  -617.75p	   565.58p	   10.000m	   17.681M
     26	   55.622k	  -58.467p	  -632.87p	   574.41p	   10.000m	   17.409M
     27	   55.623k	  -56.514p	  -620.75p	   564.24p	   10.000m	   17.723M
     28	   55.623k	  -52.822p	  -630.25p	   577.43p	   10.000m	   17.318M
     29	   55.624k	  -61.486p	  -634.78p	   573.30p	   10.000m	   17.443M
     30	   55.624k	  -55.837p	  -632.59p	   576.76p	   10.000m	   17.338M
     31	   55.624k	  -52.237p	  -633.28p	   581.04p	   10.000m	   17.210M
     32	   55.625k	  -62.869p	  -633.50p	   570.63p	   10.000m	   17.524M
     33	   55.625k	  -52.774p	  -625.09p	   572.32p	   10.000m	   17.473M
     34	   55.626k	  -55.974p	  -637.06p	   581.09p	   10.000m	   17.209M
     35	   55.626k	  -54.406p	  -633.06p	   578.66p	   10.000m	   17.281M
     36	   55.627k	  -54.122p	  -632.06p	   577.94p	   10.000m	   17.303M
     37	   55.627k	  -61.729p	  -632.37p	   570.65p	   10.000m	   17.524M
     38	   55.628k	  -57.372p	  -623.59p	   566.22p	   10.000m	   17.661M
     39	   55.628k	  -52.711p	  -621.00p	   568.29p	   10.000m	   17.597M
     40	   55.628k	  -56.624p	  -627.81p	   571.19p	   10.000m	   17.507M
     41	   55.629k	  -94.027p	  -641.34p	   547.32p	   10.000m	   18.271M
     42	   55.629k	  -53.088p	  -628.16p	   575.07p	   10.000m	   17.389M
     43	   55.630k	  -53.112p	  -622.63p	   569.51p	   10.000m	   17.559M
     44	   55.630k	  -50.495p	  -619.91p	   569.41p	   10.000m	   17.562M
     45	   55.631k	  -48.603p	  -626.00p	   577.40p	   10.000m	   17.319M
     46	   55.631k	  -64.510p	  -634.75p	   570.24p	   10.000m	   17.536M
     47	   55.631k	  -53.755p	  -630.16p	   576.40p	   10.000m	   17.349M
     48	   55.632k	  -61.896p	  -616.66p	   554.76p	   10.000m	   18.026M
     49	   55.632k	  -56.816p	  -626.81p	   570.00p	   10.000m	   17.544M
     50	   55.633k	  -57.576p	  -629.72p	   572.14p	   10.000m	   17.478M
     51	   55.633k	  -111.32p	  -710.28p	   598.96p	   10.000m	   16.695M
     52	   55.634k	  -67.926p	  -634.22p	   566.29p	   10.000m	   17.659M
     53	   55.634k	  -55.885p	  -627.16p	   571.27p	   10.000m	   17.505M
     54	   55.635k	  -73.016p	  -626.09p	   553.08p	   10.000m	   18.081M
     55	   55.635k	  -59.169p	  -630.22p	   571.05p	   10.000m	   17.512M
     56	   55.635k	  -56.751p	  -629.63p	   572.87p	   10.000m	   17.456M
     57	   55.636k	  -59.097p	  -625.06p	   565.97p	   10.000m	   17.669M
     58	   55.636k	  -106.12p	  -660.50p	   554.38p	   10.000m	   18.038M
     59	   55.637k	  -53.438p	  -615.91p	   562.47p	   10.000m	   17.779M
     60	   55.637k	  -83.712p	  -657.28p	   573.57p	   10.000m	   17.435M
     61	   55.638k	  -56.543p	  -628.44p	   571.89p	   10.000m	   17.486M
     62	   55.638k	  -58.822p	  -624.97p	   566.15p	   10.000m	   17.663M
     63	   55.638k	  -63.069p	  -628.00p	   564.93p	   10.000m	   17.701M
     64	   55.639k	  -51.367p	  -620.78p	   569.41p	   10.000m	   17.562M
     65	   55.639k	  -60.616p	  -623.12p	   562.51p	   10.000m	   17.777M
     66	   55.640k	  -52.759p	  -624.63p	   571.87p	   10.000m	   17.487M
     67	   55.640k	  -60.325p	  -624.66p	   564.33p	   10.000m	   17.720M
     68	   55.641k	  -53.437p	  -633.06p	   579.63p	   10.000m	   17.253M
     69	   55.641k	  -50.820p	  -621.47p	   570.65p	   10.000m	   17.524M
     70	   55.642k	  -66.072p	  -618.50p	   552.43p	   10.000m	   18.102M
     71	   55.642k	  -55.936p	  -620.00p	   564.06p	   10.000m	   17.728M
     72	   55.642k	  -61.258p	  -635.94p	   574.68p	   10.000m	   17.401M
