17-May-2019 11:54:01


GROUP_1	    5

SERIES_1_1	 "IVCC-I"	  ""	 17-May-2019	 11:35:58.858
EPC10/2-1	 C-Clamp	  0.0000 	  10.000m	  7.3014k	  6.8829p	  17.772p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[V]	    Min[V]	     a2-b3	  Constant	     a5/b4
      1	   41.759k	  -38.106m	  -57.750m	   19.644m	   10.000m	   509.07m
      2	   41.760k	  -25.533m	  -49.906m	   24.373m	   10.000m	   410.29m
      3	   41.761k	  -42.063m	  -55.594m	   13.531m	   10.000m	   739.07m
      4	   41.762k	   11.210m	  -42.156m	   53.366m	   10.000m	   187.38m
      5	   41.763k	   13.387m	  -42.062m	   55.449m	   10.000m	   180.35m
      6	   41.764k	   12.975m	  -38.469m	   51.443m	   10.000m	   194.39m
      7	   41.765k	  -37.406m	  -38.312m	   906.89µ	   10.000m	    11.027

SERIES_1_2	 "Imoncont"	  ""	 17-May-2019	 11:38:48.764
EPC10/2-1	 V-Clamp	 -60.000m	  10.000m	  7.3014k	  6.8844p	  17.772p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[A]	    Min[A]	     a2-b3	  Constant	     a5/b4
      1	   41.929k	  -126.12p	  -952.97p	   826.85p	   10.000m	   12.094M
      2	   41.929k	  -125.86p	  -960.34p	   834.49p	   10.000m	   11.983M
      3	   41.930k	  -128.57p	  -949.72p	   821.14p	   10.000m	   12.178M
      4	   41.930k	  -128.88p	  -968.03p	   839.15p	   10.000m	   11.917M
      5	   41.931k	  -145.97p	  -994.91p	   848.93p	   10.000m	   11.780M
      6	   41.931k	  -142.40p	  -960.78p	   818.38p	   10.000m	   12.219M
      7	   41.931k	  -128.75p	  -962.91p	   834.16p	   10.000m	   11.988M
      8	   41.932k	  -131.26p	  -952.81p	   821.56p	   10.000m	   12.172M
      9	   41.932k	  -134.13p	  -964.50p	   830.37p	   10.000m	   12.043M
     10	   41.933k	  -130.61p	  -956.66p	   826.04p	   10.000m	   12.106M
     11	   41.933k	  -126.27p	  -967.31p	   841.04p	   10.000m	   11.890M
     12	   41.934k	  -133.75p	  -953.06p	   819.31p	   10.000m	   12.205M
     13	   41.934k	  -130.89p	  -961.91p	   831.02p	   10.000m	   12.033M
     14	   41.934k	  -130.43p	  -952.84p	   822.41p	   10.000m	   12.159M
     15	   41.935k	  -137.63p	  -937.84p	   800.22p	   10.000m	   12.497M
     16	   41.935k	  -122.58p	  -942.81p	   820.23p	   10.000m	   12.192M
     17	   41.936k	  -125.68p	  -944.28p	   818.60p	   10.000m	   12.216M
     18	   41.936k	  -122.50p	  -949.09p	   826.60p	   10.000m	   12.098M
     19	   41.937k	  -127.62p	  -937.66p	   810.03p	   10.000m	   12.345M
     20	   41.937k	  -126.95p	  -943.84p	   816.90p	   10.000m	   12.241M
     21	   41.938k	  -130.57p	  -937.00p	   806.43p	   10.000m	   12.400M
     22	   41.938k	  -123.41p	  -960.94p	   837.53p	   10.000m	   11.940M
     23	   41.938k	  -145.15p	  -946.12p	   800.97p	   10.000m	   12.485M
     24	   41.939k	  -128.26p	  -947.47p	   819.21p	   10.000m	   12.207M
     25	   41.939k	  -133.28p	  -942.94p	   809.66p	   10.000m	   12.351M
     26	   41.940k	  -124.12p	  -958.09p	   833.98p	   10.000m	   11.991M
     27	   41.940k	  -126.74p	  -942.06p	   815.32p	   10.000m	   12.265M
     28	   41.941k	  -124.21p	  -941.00p	   816.79p	   10.000m	   12.243M
     29	   41.941k	  -124.87p	  -948.22p	   823.35p	   10.000m	   12.146M
     30	   41.941k	  -124.15p	  -931.50p	   807.35p	   10.000m	   12.386M
     31	   41.942k	  -120.82p	  -936.31p	   815.50p	   10.000m	   12.262M
     32	   41.942k	  -125.33p	  -944.50p	   819.17p	   10.000m	   12.208M
     33	   41.943k	  -122.10p	  -944.87p	   822.78p	   10.000m	   12.154M
     34	   41.943k	  -125.16p	  -923.91p	   798.75p	   10.000m	   12.520M
     35	   41.944k	  -118.06p	  -928.22p	   810.16p	   10.000m	   12.343M
     36	   41.944k	  -117.44p	  -916.44p	   799.00p	   10.000m	   12.516M
     37	   41.945k	  -115.64p	  -940.59p	   824.95p	   10.000m	   12.122M
     38	   41.945k	  -116.75p	  -929.69p	   812.93p	   10.000m	   12.301M
     39	   41.945k	  -121.42p	  -949.66p	   828.23p	   10.000m	   12.074M
     40	   41.946k	  -122.26p	  -932.84p	   810.58p	   10.000m	   12.337M
     41	   41.946k	  -118.97p	  -927.78p	   808.81p	   10.000m	   12.364M
     42	   41.947k	  -114.90p	  -942.28p	   827.38p	   10.000m	   12.086M
     43	   41.947k	  -118.31p	  -941.34p	   823.04p	   10.000m	   12.150M
     44	   41.948k	  -118.75p	  -945.66p	   826.91p	   10.000m	   12.093M
     45	   41.948k	  -120.42p	  -932.44p	   812.02p	   10.000m	   12.315M
     46	   41.948k	  -126.34p	  -930.84p	   804.50p	   10.000m	   12.430M
     47	   41.949k	  -140.86p	  -945.84p	   804.99p	   10.000m	   12.423M
     48	   41.949k	  -119.39p	  -946.09p	   826.70p	   10.000m	   12.096M
     49	   41.950k	  -120.09p	  -939.81p	   819.72p	   10.000m	   12.199M
     50	   41.950k	  -125.54p	  -924.31p	   798.78p	   10.000m	   12.519M
     51	   41.951k	  -119.71p	  -929.50p	   809.79p	   10.000m	   12.349M
     52	   41.951k	  -124.69p	  -936.66p	   811.96p	   10.000m	   12.316M
     53	   41.952k	  -127.27p	  -930.63p	   803.36p	   10.000m	   12.448M
     54	   41.952k	  -121.02p	  -934.66p	   813.64p	   10.000m	   12.290M
     55	   41.952k	  -123.04p	  -947.62p	   824.59p	   10.000m	   12.127M
     56	   41.953k	  -118.00p	  -953.94p	   835.94p	   10.000m	   11.963M
     57	   41.953k	  -120.33p	  -930.50p	   810.17p	   10.000m	   12.343M
     58	   41.954k	  -123.40p	  -931.50p	   808.10p	   10.000m	   12.375M
     59	   41.954k	  -129.46p	  -943.87p	   814.42p	   10.000m	   12.279M
     60	   41.955k	  -122.68p	  -937.62p	   814.95p	   10.000m	   12.271M
     61	   41.955k	  -119.06p	  -933.28p	   814.22p	   10.000m	   12.282M
     62	   41.955k	  -116.57p	  -929.47p	   812.90p	   10.000m	   12.302M
     63	   41.956k	  -117.81p	  -933.72p	   815.91p	   10.000m	   12.256M
     64	   41.956k	  -120.14p	  -943.09p	   822.96p	   10.000m	   12.151M
     65	   41.957k	  -125.26p	  -937.09p	   811.83p	   10.000m	   12.318M
     66	   41.957k	  -123.72p	  -933.22p	   809.49p	   10.000m	   12.353M
     67	   41.958k	  -121.47p	  -949.47p	   827.99p	   10.000m	   12.077M
     68	   41.958k	  -135.23p	  -952.37p	   817.14p	   10.000m	   12.238M
     69	   41.959k	  -121.87p	  -926.25p	   804.38p	   10.000m	   12.432M
     70	   41.959k	  -115.62p	  -940.91p	   825.29p	   10.000m	   12.117M
     71	   41.959k	  -124.13p	  -923.13p	   799.00p	   10.000m	   12.516M
     72	   41.960k	  -119.77p	  -924.62p	   804.85p	   10.000m	   12.425M
     73	   41.960k	  -123.46p	  -921.13p	   797.66p	   10.000m	   12.537M
     74	   41.961k	  -123.17p	  -920.22p	   797.05p	   10.000m	   12.546M
     75	   41.961k	  -120.20p	  -930.00p	   809.80p	   10.000m	   12.349M
     76	   41.962k	  -128.97p	  -937.97p	   809.00p	   10.000m	   12.361M
